Ano,Mês,Conta,Categoria da Conta,Valor
2024,Jan,Despesas Operacionais,Custos Operacionais,-37000
2024,Jan,Despesas Administrativas,Custos Operacionais,-18500
2024,Jan,Outras Despesas,Custos Operacionais,-900
2024,Jan,Impostos sob o lucro,Impostos sob o lucro e participações,-200000
2024,Jan,Participação,Impostos sob o lucro e participações,-98000
2024,Fev,Receita com Produtos,Receita Bruta,2350000
2024,Fev,Receita com Serviços,Receita Bruta,47000
2024,Fev,Comissões,Deduções da Receita Bruta,-16450
2024,Fev,Devoluções,Deduções da Receita Bruta,-24500
2024,Fev,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-295000
2024,Fev,Custo Variável,Custo de Mercadoria Vendida (CMV),-235000
2024,Fev,Custo Fixo,Custo de Mercadoria Vendida (CMV),-70000
2024,Fev,Despesas Operacionais,Custos Operacionais,-35000
2024,Fev,Despesas Administrativas,Custos Operacionais,-17500
2024,Fev,Outras Despesas,Custos Operacionais,-900
2024,Fev,Impostos sob o lucro,Impostos sob o lucro e participações,-190000
2024,Fev,Participação,Impostos sob o lucro e participações,-95000
2024,Mar,Receita com Produtos,Receita Bruta,2500000
2024,Mar,Receita com Serviços,Receita Bruta,50000
2024,Mar,Comissões,Deduções da Receita Bruta,-17500
2024,Mar,Devoluções,Deduções da Receita Bruta,-26000
2024,Mar,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-315000
2024,Mar,Custo Variável,Custo de Mercadoria Vendida (CMV),-250000
2024,Mar,Custo Fixo,Custo de Mercadoria Vendida (CMV),-70000
2024,Mar,Despesas Operacionais,Custos Operacionais,-38000
2024,Mar,Despesas Administrativas,Custos Operacionais,-19000
2024,Mar,Outras Despesas,Custos Operacionais,-900
2024,Mar,Impostos sob o lucro,Impostos sob o lucro e participações,-205000
2024,Mar,Participação,Impostos sob o lucro e participações,-100000
2024,Abr,Receita com Produtos,Receita Bruta,2400000
2024,Abr,Receita com Serviços,Receita Bruta,48000
2024,Abr,Comissões,Deduções da Receita Bruta,-16800
2024,Abr,Devoluções,Deduções da Receita Bruta,-25000
2024,Abr,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-300000
2024,Abr,Custo Variável,Custo de Mercadoria Vendida (CMV),-240000
2024,Abr,Custo Fixo,Custo de Mercadoria Vendida (CMV),-70000
2024,Abr,Despesas Operacionais,Custos Operacionais,-36000
2024,Abr,Despesas Administrativas,Custos Operacionais,-18000
2024,Abr,Outras Despesas,Custos Operacionais,-900
2024,Abr,Impostos sob o lucro,Impostos sob o lucro e participações,-195000
2024,Abr,Participação,Impostos sob o lucro e participações,-97000
2024,Mai,Receita com Produtos,Receita Bruta,2600000
2024,Mai,Receita com Serviços,Receita Bruta,52000
2024,Mai,Comissões,Deduções da Receita Bruta,-18200
2024,Mai,Devoluções,Deduções da Receita Bruta,-27000
2024,Mai,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-325000
2024,Mai,Custo Variável,Custo de Mercadoria Vendida (CMV),-260000
2024,Mai,Custo Fixo,Custo de Mercadoria Vendida (CMV),-70000
2024,Mai,Despesas Operacionais,Custos Operacionais,-39000
2024,Mai,Despesas Administrativas,Custos Operacionais,-19500
2024,Mai,Outras Despesas,Custos Operacionais,-900
2024,Mai,Impostos sob o lucro,Impostos sob o lucro e participações,-215000
2024,Mai,Participação,Impostos sob o lucro e participações,-102000
2024,Jun,Receita com Produtos,Receita Bruta,2700000
2024,Jun,Receita com Serviços,Receita Bruta,54000
2024,Jun,Comissões,Deduções da Receita Bruta,-18900
2024,Jun,Devoluções,Deduções da Receita Bruta,-28000
2024,Jun,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-335000
2024,Jun,Custo Variável,Custo de Mercadoria Vendida (CMV),-270000
2024,Jun,Custo Fixo,Custo de Mercadoria Vendida (CMV),-70000
2024,Jun,Despesas Operacionais,Custos Operacionais,-40000
2024,Jun,Despesas Administrativas,Custos Operacionais,-20000
2024,Jun,Outras Despesas,Custos Operacionais,-900
2024,Jun,Impostos sob o lucro,Impostos sob o lucro e participações,-225000
2024,Jun,Participação,Impostos sob o lucro e participações,-105000
2024,Jul,Receita com Produtos,Receita Bruta,2500000
2024,Jul,Receita com Serviços,Receita Bruta,50000
2024,Jul,Comissões,Deduções da Receita Bruta,-17500
2024,Jul,Devoluções,Deduções da Receita Bruta,-26000
2024,Jul,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-315000
2024,Jul,Custo Variável,Custo de Mercadoria Vendida (CMV),-250000
2024,Jul,Custo Fixo,Custo de Mercadoria Vendida (CMV),-70000
2024,Jul,Despesas Operacionais,Custos Operacionais,-38000
2024,Jul,Despesas Administrativas,Custos Operacionais,-19000
2024,Jul,Outras Despesas,Custos Operacionais,-900
2024,Jul,Impostos sob o lucro,Impostos sob o lucro e participações,-205000
2024,Jul,Participação,Impostos sob o lucro e participações,-100000
2024,Ago,Receita com Produtos,Receita Bruta,2800000
2024,Ago,Receita com Serviços,Receita Bruta,56000
2024,Ago,Comissões,Deduções da Receita Bruta,-19600
2024,Ago,Devoluções,Deduções da Receita Bruta,-29000
2024,Ago,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-345000
2024,Ago,Custo Variável,Custo de Mercadoria Vendida (CMV),-280000
2024,Ago,Custo Fixo,Custo de Mercadoria Vendida (CMV),-70000
2024,Ago,Despesas Operacionais,Custos Operacionais,-41000
2024,Ago,Despesas Administrativas,Custos Operacionais,-20500
2024,Ago,Outras Despesas,Custos Operacionais,-900
2024,Ago,Impostos sob o lucro,Impostos sob o lucro e participações,-235000
2024,Ago,Participação,Impostos sob o lucro e participações,-108000
2024,Set,Receita com Produtos,Receita Bruta,2700000
2024,Set,Receita com Serviços,Receita Bruta,54000
2024,Set,Comissões,Deduções da Receita Bruta,-18900
2024,Set,Devoluções,Deduções da Receita Bruta,-28000
2024,Set,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-335000
2024,Set,Custo Variável,Custo de Mercadoria Vendida (CMV),-270000
2024,Set,Custo Fixo,Custo de Mercadoria Vendida (CMV),-70000
2024,Set,Despesas Operacionais,Custos Operacionais,-40000
2024,Set,Despesas Administrativas,Custos Operacionais,-20000
2024,Set,Outras Despesas,Custos Operacionais,-900
2024,Set,Impostos sob o lucro,Impostos sob o lucro e participações,-225000
2024,Set,Participação,Impostos sob o lucro e participações,-105000
2024,Out,Receita com Produtos,Receita Bruta,2900000
2024,Out,Receita com Serviços,Receita Bruta,58000
2024,Out,Comissões,Deduções da Receita Bruta,-20300
2024,Out,Devoluções,Deduções da Receita Bruta,-30000
2024,Out,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-360000
2024,Out,Custo Variável,Custo de Mercadoria Vendida (CMV),-290000
2024,Out,Custo Fixo,Custo de Mercadoria Vendida (CMV),-70000
2024,Out,Despesas Operacionais,Custos Operacionais,-42000
2024,Out,Despesas Administrativas,Custos Operacionais,-21000
2024,Out,Outras Despesas,Custos Operacionais,-900
2024,Out,Impostos sob o lucro,Impostos sob o lucro e participações,-245000
2024,Out,Participação,Impostos sob o lucro e participações,-110000
2024,Nov,Receita com Produtos,Receita Bruta,3000000
2024,Nov,Receita com Serviços,Receita Bruta,60000
2024,Nov,Comissões,Deduções da Receita Bruta,-21000
2024,Nov,Devoluções,Deduções da Receita Bruta,-31000
2024,Nov,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-370000
2024,Nov,Custo Variável,Custo de Mercadoria Vendida (CMV),-300000
2024,Nov,Custo Fixo,Custo de Mercadoria Vendida (CMV),-70000
2024,Nov,Despesas Operacionais,Custos Operacionais,-43000
2024,Nov,Despesas Administrativas,Custos Operacionais,-21500
2024,Nov,Outras Despesas,Custos Operacionais,-900
2024,Nov,Impostos sob o lucro,Impostos sob o lucro e participações,-255000
2024,Nov,Participação,Impostos sob o lucro e participações,-112000
2024,Dez,Receita com Produtos,Receita Bruta,3200000
2024,Dez,Receita com Serviços,Receita Bruta,64000
2024,Dez,Comissões,Deduções da Receita Bruta,-22400
2024,Dez,Devoluções,Deduções da Receita Bruta,-33000
2024,Dez,Impostos de Venda (ICMS/ISS),Deduções da Receita Bruta,-390000
2024,Dez,Custo Variável,Custo de Mercadoria Vendida (CMV),-320000
2024,Dez,Custo Fixo,Custo de Mercadoria Vendida (CMV),-70000
2024,Dez,Despesas Operacionais,Custos Operacionais,-45000
2024,Dez,Despesas Administrativas,Custos Operacionais,-22500
2024,Dez,Outras Despesas,Custos Operacionais,-900
2024,Dez,Impostos sob o lucro,Impostos sob o lucro e participações,-270000
2024,Dez,Participação,Impostos sob o lucro e participações,-118000
